SimID,Longitude,Latitude,UrRMSE,NpRMSE,BzRMSE
21,170,-10,206.75534955741978,10.849405430252341,11.445043214570436
21,170,-8,198.1526039628188,11.798249666087617,10.984520078175251
21,170,-6,195.8263876418091,11.566039469069493,10.683127241392125
21,170,-4,195.88781514039678,9.602640476278408,10.819909896885045
21,170,-2,185.1157540046392,8.263278455054623,10.46124165378243
21,170,0,182.70398135675876,8.238841239359111,10.644973193708966
21,170,2,186.88571027621182,8.697646276234924,10.02773138212587
21,170,4,173.04224867581158,9.426070581944902,8.563541198171269
21,170,6,122.66751071386948,11.006210078234727,8.651266166014924
21,170,7,98.28774760288172,10.055206514471088,8.626119444258688
21,170,8,96.27197350553497,12.3354713849003,8.74243343255715
21,170,10,87.28812308607873,11.51011093140295,8.777995596029335
21,170,12,76.9416492251614,8.455307331968667,9.247897430363727
21,170,14,79.48214780578087,7.949761582603422,10.026245493122943
21,170,16,86.72980225347179,7.649583009491934,11.246989173129453
21,170,18,101.60791407083562,9.43717871868038,12.972205947436779
21,170,20,104.32239236878301,11.243021680384233,13.260186554022052
21,172,-10,217.68026576761264,11.93415078698735,11.334879795252805
21,172,-8,203.89569904042187,12.612556040209352,11.009249951462191
21,172,-6,197.96816654894084,13.724525510821243,9.665904295338066
21,172,-4,202.0577323025658,12.682820105358946,9.353250713037909
21,172,-2,207.3418658370355,12.14676871888518,8.558498002703145
21,172,0,202.1209417238821,9.89801980699438,9.069360133988438
21,172,2,191.97780130921757,11.351983813179093,8.650356618506793
21,172,4,139.53388483098405,11.007995305781053,7.971678022332076
21,172,6,102.83310412206146,11.209847302966374,7.697524907228546
21,172,7,94.70710534288217,12.053324008803447,7.789370950792916
21,172,8,91.07395312730253,11.58169997530267,8.121312910584512
21,172,10,86.59790863098499,9.130807812040054,8.831441653767486
21,172,12,88.71986718373738,7.726147172556784,9.558410462809364
21,172,14,94.00028245446252,7.013326086609062,10.01575291342732
21,172,16,83.4451032187655,7.106975615956022,10.706613769337224
21,172,18,94.78410630283074,10.546045475760092,12.07541374046356
21,172,20,100.20735264353766,11.666875875732623,12.892188838401518
21,174,-10,237.96509831163897,11.874470844616475,10.914237751671143
21,174,-8,222.66040246328674,12.273241455343982,11.148690721620953
21,174,-6,214.55332840370315,12.74047573307816,11.531635925733074
21,174,-4,214.27381507735296,13.780374471965928,10.025478937279722
21,174,-2,205.24173389919903,15.36471104712569,9.430312895064688
21,174,0,192.6438155231114,12.46828911327098,8.804263142316678
21,174,2,159.07625733580187,11.350015988993471,7.5772097442165895
21,174,4,122.46027658382256,10.865482446325338,8.130014377992499
21,174,6,116.17069512531432,11.141854443007555,8.373920243720809
21,174,7,107.94022389178086,10.069186931882218,8.842494363506574
21,174,8,111.30536814086774,8.939074769621536,9.24635614696522
21,174,10,116.48881213859123,7.217870877204857,9.445007937006471
21,174,12,118.87079057966895,6.766625221965785,9.619522541437034
21,174,14,109.2716661616715,6.5580852760753015,9.833018248855742
21,174,16,78.39472319281911,6.665014043245158,9.85497668974329
21,174,18,88.46135526143848,11.31051016291376,10.46161948564004
21,174,20,97.00749053403263,11.737286290807832,11.839309583021151
21,176,-10,252.22609174736994,12.645758648692285,10.896180991563574
21,176,-8,232.4318443037936,12.07107977397369,10.82114624038038
21,176,-6,208.79461133383447,12.648612348918087,11.039464151115496
21,176,-4,202.3729643764241,14.817459815608816,10.80037391691237
21,176,-2,186.20486468347025,17.040755418794618,10.179772262447104
21,176,0,166.2202706673966,12.50004984638206,8.814355094693479
21,176,2,161.38641128374547,11.349716424914293,8.356649946374999
21,176,4,163.52678473065927,9.08714956994097,9.24877395626477
21,176,6,161.73053565136897,8.076105010790732,9.703531885130555
21,176,7,155.97246317259908,8.166786623155748,9.514697311156974
21,176,8,158.20696842343608,8.307596483978887,9.393546662269879
21,176,10,146.32681409222303,6.966727337906657,9.404275950576807
21,176,12,141.8016914927869,6.238974706677815,9.540072672045715
21,176,14,109.37193948370754,6.144839523506667,9.59884426063945
